Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Africa Eastern and Southern,AFE,"Population ages 75-79, female",SP.POP.7579.FE,2360958
Africa Eastern and Southern,AFE,"Population ages 70-74, male",SP.POP.7074.MA,2833332
Africa Eastern and Southern,AFE,"Population ages 70-74, female",SP.POP.7074.FE,3812767
Africa Eastern and Southern,AFE,"Population ages 65-69, male",SP.POP.6569.MA,4186004
Africa Eastern and Southern,AFE,"Population ages 65-69, female",SP.POP.6569.FE,5427564
Africa Eastern and Southern,AFE,"Population ages 60-64, male",SP.POP.6064.MA,5925387
Africa Eastern and Southern,AFE,"Population ages 60-64, female",SP.POP.6064.FE,7283150
Africa Eastern and Southern,AFE,"Population ages 55-59, male",SP.POP.5559.MA,8150303
Africa Eastern and Southern,AFE,"Population ages 55-59, female",SP.POP.5559.FE,9378767
Africa Eastern and Southern,AFE,"Population ages 50-54, male",SP.POP.5054.MA,10580394
Africa Eastern and Southern,AFE,"Population ages 50-54, female",SP.POP.5054.FE,11461271
Africa Eastern and Southern,AFE,"Population ages 45-49, male",SP.POP.4549.MA,13178646
Africa Eastern and Southern,AFE,"Population ages 45-49, female",SP.POP.4549.FE,13679710
Africa Eastern and Southern,AFE,"Population ages 40-44, male",SP.POP.4044.MA,17145694
Africa Eastern and Southern,AFE,"Population ages 40-44, female",SP.POP.4044.FE,17598918
Africa Eastern and Southern,AFE,"Population ages 35-39, male",SP.POP.3539.MA,21204117
Africa Eastern and Southern,AFE,"Population ages 35-39, female",SP.POP.3539.FE,21911563
Africa Eastern and Southern,AFE,"Age dependency ratio, old",SP.POP.DPND.OL,5.64175248574077
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),SP.POP.DPND,79.5538861734696
Africa Eastern and Southern,AFE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Africa Eastern and Southern,AFE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Africa Eastern and Southern,AFE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Africa Eastern and Southern,AFE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,502789511
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,705335
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,934638
Africa Western and Central,AFW,"Population ages 75-79, male",SP.POP.7579.MA,1121913
Africa Western and Central,AFW,"Population ages 75-79, female",SP.POP.7579.FE,1329076
Africa Western and Central,AFW,"Population ages 70-74, male",SP.POP.7074.MA,1899766
Africa Western and Central,AFW,"Population ages 70-74, female",SP.POP.7074.FE,2196304
Africa Western and Central,AFW,"Population ages 65-69, male",SP.POP.6569.MA,2971942
Africa Western and Central,AFW,"Population ages 65-69, female",SP.POP.6569.FE,3346124
Africa Western and Central,AFW,"Population ages 60-64, male",SP.POP.6064.MA,4187839
Africa Western and Central,AFW,"Population ages 60-64, female",SP.POP.6064.FE,4580879
Africa Western and Central,AFW,"Population ages 55-59, male",SP.POP.5559.MA,5538788
Africa Western and Central,AFW,"Population ages 55-59, female",SP.POP.5559.FE,5853214
Africa Western and Central,AFW,"Population ages 50-54, male",SP.POP.5054.MA,7198332
Africa Western and Central,AFW,"Population ages 50-54, female",SP.POP.5054.FE,7376138
Africa Western and Central,AFW,"Population ages 45-49, male",SP.POP.4549.MA,9392066
Africa Western and Central,AFW,"Population ages 45-49, female",SP.POP.4549.FE,9449938
Africa Western and Central,AFW,"Population ages 40-44, male",SP.POP.4044.MA,11725406
Africa Western and Central,AFW,"Population ages 40-44, female",SP.POP.4044.FE,11700935
Africa Western and Central,AFW,"Population ages 35-39, male",SP.POP.3539.MA,13746975
Africa Western and Central,AFW,"Population ages 35-39, female",SP.POP.3539.FE,13637690
Africa Western and Central,AFW,"Age dependency ratio, old",SP.POP.DPND.OL,5.28961481462189
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),SP.POP.DPND,83.7551835594152
Africa Western and Central,AFW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Africa Western and Central,AFW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Africa Western and Central,AFW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Africa Western and Central,AFW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Albania,ALB,"Population, total",SP.POP.TOTL,2768265
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,46084
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55051
Albania,ALB,"Population ages 75-79, male",SP.POP.7579.MA,42195
Albania,ALB,"Population ages 75-79, female",SP.POP.7579.FE,45056
Albania,ALB,"Population ages 70-74, male",SP.POP.7074.MA,59676
Albania,ALB,"Population ages 70-74, female",SP.POP.7074.FE,63394
Albania,ALB,"Population ages 65-69, male",SP.POP.6569.MA,78672
Albania,ALB,"Population ages 65-69, female",SP.POP.6569.FE,83648
Albania,ALB,"Population ages 60-64, male",SP.POP.6064.MA,93194
Albania,ALB,"Population ages 60-64, female",SP.POP.6064.FE,97611
Albania,ALB,"Population ages 55-59, male",SP.POP.5559.MA,91032
Albania,ALB,"Population ages 55-59, female",SP.POP.5559.FE,96843
Albania,ALB,"Population ages 50-54, male",SP.POP.5054.MA,83876
Albania,ALB,"Population ages 50-54, female",SP.POP.5054.FE,90415
Albania,ALB,"Population ages 45-49, male",SP.POP.4549.MA,77475
Albania,ALB,"Population ages 45-49, female",SP.POP.4549.FE,80823
Albania,ALB,"Population ages 40-44, male",SP.POP.4044.MA,81315
Albania,ALB,"Population ages 40-44, female",SP.POP.4044.FE,77655
Albania,ALB,"Population ages 35-39, male",SP.POP.3539.MA,96161
Albania,ALB,"Population ages 35-39, female",SP.POP.3539.FE,86459
Albania,ALB,"Age dependency ratio, old",SP.POP.DPND.OL,25.5923748200526
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,49.5360664637391
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,213911
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,268893
Algeria,DZA,"Population ages 75-79, male",SP.POP.7579.MA,222319
Algeria,DZA,"Population ages 75-79, female",SP.POP.7579.FE,258632
Algeria,DZA,"Population ages 70-74, male",SP.POP.7074.MA,418919
Algeria,DZA,"Population ages 70-74, female",SP.POP.7074.FE,433132
Algeria,DZA,"Population ages 65-69, male",SP.POP.6569.MA,593540
Algeria,DZA,"Population ages 65-69, female",SP.POP.6569.FE,604559
Algeria,DZA,"Population ages 60-64, male",SP.POP.6064.MA,776027
Algeria,DZA,"Population ages 60-64, female",SP.POP.6064.FE,761209
Algeria,DZA,"Population ages 55-59, male",SP.POP.5559.MA,1004071
Algeria,DZA,"Population ages 55-59, female",SP.POP.5559.FE,975760
Algeria,DZA,"Population ages 50-54, male",SP.POP.5054.MA,1216124
Algeria,DZA,"Population ages 50-54, female",SP.POP.5054.FE,1170234
Algeria,DZA,"Population ages 45-49, male",SP.POP.4549.MA,1439578
Algeria,DZA,"Population ages 45-49, female",SP.POP.4549.FE,1375714
Algeria,DZA,"Population ages 40-44, male",SP.POP.4044.MA,1734861
Algeria,DZA,"Population ages 40-44, female",SP.POP.4044.FE,1646531
Algeria,DZA,"Population ages 35-39, male",SP.POP.3539.MA,1869437
Algeria,DZA,"Population ages 35-39, female",SP.POP.3539.FE,1783469
Algeria,DZA,"Age dependency ratio, old",SP.POP.DPND.OL,10.4992677448213
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,58.8752637094055
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,118
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,212
American Samoa,ASM,"Population ages 75-79, male",SP.POP.7579.MA,214
American Samoa,ASM,"Population ages 75-79, female",SP.POP.7579.FE,299
American Samoa,ASM,"Population ages 70-74, male",SP.POP.7074.MA,418
American Samoa,ASM,"Population ages 70-74, female",SP.POP.7074.FE,573
American Samoa,ASM,"Population ages 65-69, male",SP.POP.6569.MA,703
American Samoa,ASM,"Population ages 65-69, female",SP.POP.6569.FE,840
American Samoa,ASM,"Population ages 60-64, male",SP.POP.6064.MA,1052
American Samoa,ASM,"Population ages 60-64, female",SP.POP.6064.FE,1185
American Samoa,ASM,"Population ages 55-59, male",SP.POP.5559.MA,1298
American Samoa,ASM,"Population ages 55-59, female",SP.POP.5559.FE,1356
American Samoa,ASM,"Population ages 50-54, male",SP.POP.5054.MA,1391
American Samoa,ASM,"Population ages 50-54, female",SP.POP.5054.FE,1329
American Samoa,ASM,"Population ages 45-49, male",SP.POP.4549.MA,1303
American Samoa,ASM,"Population ages 45-49, female",SP.POP.4549.FE,1335
American Samoa,ASM,"Population ages 40-44, male",SP.POP.4044.MA,1171
American Samoa,ASM,"Population ages 40-44, female",SP.POP.4044.FE,1210
American Samoa,ASM,"Population ages 35-39, male",SP.POP.3539.MA,1024
American Samoa,ASM,"Population ages 35-39, female",SP.POP.3539.FE,1162
American Samoa,ASM,"Age dependency ratio, old",SP.POP.DPND.OL,11.7842063021251
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,53.2400460620442
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Andorra,AND,"Population, total",SP.POP.TOTL,80088
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1178
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1776
Andorra,AND,"Population ages 75-79, male",SP.POP.7579.MA,1183
Andorra,AND,"Population ages 75-79, female",SP.POP.7579.FE,1158
Andorra,AND,"Population ages 70-74, male",SP.POP.7074.MA,1543
Andorra,AND,"Population ages 70-74, female",SP.POP.7074.FE,1499
Andorra,AND,"Population ages 65-69, male",SP.POP.6569.MA,2120
Andorra,AND,"Population ages 65-69, female",SP.POP.6569.FE,1995
Andorra,AND,"Population ages 60-64, male",SP.POP.6064.MA,2914
Andorra,AND,"Population ages 60-64, female",SP.POP.6064.FE,2727
Andorra,AND,"Population ages 55-59, male",SP.POP.5559.MA,3469
Andorra,AND,"Population ages 55-59, female",SP.POP.5559.FE,3256
Andorra,AND,"Population ages 50-54, male",SP.POP.5054.MA,3697
Andorra,AND,"Population ages 50-54, female",SP.POP.5054.FE,3472
Andorra,AND,"Population ages 45-49, male",SP.POP.4549.MA,3702
Andorra,AND,"Population ages 45-49, female",SP.POP.4549.FE,3649
Andorra,AND,"Population ages 40-44, male",SP.POP.4044.MA,3300
Andorra,AND,"Population ages 40-44, female",SP.POP.4044.FE,3332
Andorra,AND,"Population ages 35-39, male",SP.POP.3539.MA,2873
Andorra,AND,"Population ages 35-39, female",SP.POP.3539.FE,2683
Andorra,AND,"Age dependency ratio, old",SP.POP.DPND.OL,21.5847041897069
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,38.827159423807
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Angola,AGO,"Population, total",SP.POP.TOTL,36684202
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,42668
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,73373
Angola,AGO,"Population ages 75-79, male",SP.POP.7579.MA,62695
Angola,AGO,"Population ages 75-79, female",SP.POP.7579.FE,92711
Angola,AGO,"Population ages 70-74, male",SP.POP.7074.MA,115384
Angola,AGO,"Population ages 70-74, female",SP.POP.7074.FE,147864
Angola,AGO,"Population ages 65-69, male",SP.POP.6569.MA,195908
Angola,AGO,"Population ages 65-69, female",SP.POP.6569.FE,232175
Angola,AGO,"Population ages 60-64, male",SP.POP.6064.MA,287613
Angola,AGO,"Population ages 60-64, female",SP.POP.6064.FE,332007
Angola,AGO,"Population ages 55-59, male",SP.POP.5559.MA,376399
Angola,AGO,"Population ages 55-59, female",SP.POP.5559.FE,434576
Angola,AGO,"Population ages 50-54, male",SP.POP.5054.MA,466980
Angola,AGO,"Population ages 50-54, female",SP.POP.5054.FE,531248
Angola,AGO,"Population ages 45-49, male",SP.POP.4549.MA,601734
Angola,AGO,"Population ages 45-49, female",SP.POP.4549.FE,654532
Angola,AGO,"Population ages 40-44, male",SP.POP.4044.MA,771879
Angola,AGO,"Population ages 40-44, female",SP.POP.4044.FE,815728
Angola,AGO,"Population ages 35-39, male",SP.POP.3539.MA,969586
Angola,AGO,"Population ages 35-39, female",SP.POP.3539.FE,1006905
Angola,AGO,"Age dependency ratio, old",SP.POP.DPND.OL,4.99269021162501
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,90.2339339708724
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94298
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,670
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1251
Antigua and Barbuda,ATG,"Population ages 75-79, male",SP.POP.7579.MA,735
Antigua and Barbuda,ATG,"Population ages 75-79, female",SP.POP.7579.FE,1067
Antigua and Barbuda,ATG,"Population ages 70-74, male",SP.POP.7074.MA,1219
Antigua and Barbuda,ATG,"Population ages 70-74, female",SP.POP.7074.FE,1598
Antigua and Barbuda,ATG,"Population ages 65-69, male",SP.POP.6569.MA,1741
Antigua and Barbuda,ATG,"Population ages 65-69, female",SP.POP.6569.FE,2201
Antigua and Barbuda,ATG,"Population ages 60-64, male",SP.POP.6064.MA,2365
Antigua and Barbuda,ATG,"Population ages 60-64, female",SP.POP.6064.FE,3003
Antigua and Barbuda,ATG,"Population ages 55-59, male",SP.POP.5559.MA,2988
Antigua and Barbuda,ATG,"Population ages 55-59, female",SP.POP.5559.FE,3610
Antigua and Barbuda,ATG,"Population ages 50-54, male",SP.POP.5054.MA,3097
Antigua and Barbuda,ATG,"Population ages 50-54, female",SP.POP.5054.FE,3678
Antigua and Barbuda,ATG,"Population ages 45-49, male",SP.POP.4549.MA,3002
Antigua and Barbuda,ATG,"Population ages 45-49, female",SP.POP.4549.FE,3455
Antigua and Barbuda,ATG,"Population ages 40-44, male",SP.POP.4044.MA,3158
Antigua and Barbuda,ATG,"Population ages 40-44, female",SP.POP.4044.FE,3413
Antigua and Barbuda,ATG,"Population ages 35-39, male",SP.POP.3539.MA,3417
Antigua and Barbuda,ATG,"Population ages 35-39, female",SP.POP.3539.FE,3646
Antigua and Barbuda,ATG,"Age dependency ratio, old",SP.POP.DPND.OL,15.7248931223281
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),SP.POP.DPND,41.4490362259057
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Antigua and Barbuda,ATG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Arab World,ARB,"Population, total",SP.POP.TOTL,473265558
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1127337
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1770315
Arab World,ARB,"Population ages 75-79, male",SP.POP.7579.MA,1573298
Arab World,ARB,"Population ages 75-79, female",SP.POP.7579.FE,2074162
Arab World,ARB,"Population ages 70-74, male",SP.POP.7074.MA,2831384
Arab World,ARB,"Population ages 70-74, female",SP.POP.7074.FE,3345559
Arab World,ARB,"Population ages 65-69, male",SP.POP.6569.MA,4472261
Arab World,ARB,"Population ages 65-69, female",SP.POP.6569.FE,4834794
Arab World,ARB,"Population ages 60-64, male",SP.POP.6064.MA,6401955
Arab World,ARB,"Population ages 60-64, female",SP.POP.6064.FE,6363884
Arab World,ARB,"Population ages 55-59, male",SP.POP.5559.MA,8748141
Arab World,ARB,"Population ages 55-59, female",SP.POP.5559.FE,8081332
Arab World,ARB,"Population ages 50-54, male",SP.POP.5054.MA,11254104
Arab World,ARB,"Population ages 50-54, female",SP.POP.5054.FE,9838165
Arab World,ARB,"Population ages 45-49, male",SP.POP.4549.MA,13962789
Arab World,ARB,"Population ages 45-49, female",SP.POP.4549.FE,11948069
Arab World,ARB,"Population ages 40-44, male",SP.POP.4044.MA,16638102
Arab World,ARB,"Population ages 40-44, female",SP.POP.4044.FE,14219231
Arab World,ARB,"Population ages 35-39, male",SP.POP.3539.MA,18300247
Arab World,ARB,"Population ages 35-39, female",SP.POP.3539.FE,16051945
Arab World,ARB,"Age dependency ratio, old",SP.POP.DPND.OL,7.42299064475679
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,60.8216172458924
Arab World,ARB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Argentina,ARG,"Population, total",SP.POP.TOTL,46519252
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,419963
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,931010
Argentina,ARG,"Population ages 75-79, male",SP.POP.7579.MA,437623
Argentina,ARG,"Population ages 75-79, female",SP.POP.7579.FE,635775
Argentina,ARG,"Population ages 70-74, male",SP.POP.7074.MA,629933
Argentina,ARG,"Population ages 70-74, female",SP.POP.7074.FE,800930
Argentina,ARG,"Population ages 65-69, male",SP.POP.6569.MA,814241
Argentina,ARG,"Population ages 65-69, female",SP.POP.6569.FE,940553
Argentina,ARG,"Population ages 60-64, male",SP.POP.6064.MA,956955
Argentina,ARG,"Population ages 60-64, female",SP.POP.6064.FE,1033361
Argentina,ARG,"Population ages 55-59, male",SP.POP.5559.MA,1081561
Argentina,ARG,"Population ages 55-59, female",SP.POP.5559.FE,1124756
Argentina,ARG,"Population ages 50-54, male",SP.POP.5054.MA,1241530
Argentina,ARG,"Population ages 50-54, female",SP.POP.5054.FE,1267497
Argentina,ARG,"Population ages 45-49, male",SP.POP.4549.MA,1498374
Argentina,ARG,"Population ages 45-49, female",SP.POP.4549.FE,1480537
Argentina,ARG,"Population ages 40-44, male",SP.POP.4044.MA,1623609
Argentina,ARG,"Population ages 40-44, female",SP.POP.4044.FE,1587727
Argentina,ARG,"Population ages 35-39, male",SP.POP.3539.MA,1669958
Argentina,ARG,"Population ages 35-39, female",SP.POP.3539.FE,1619857
Argentina,ARG,"Age dependency ratio, old",SP.POP.DPND.OL,18.4945016714364
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,53.3593742968787
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,16438
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,61817
Armenia,ARM,"Population ages 75-79, male",SP.POP.7579.MA,15209
Armenia,ARM,"Population ages 75-79, female",SP.POP.7579.FE,31451
Armenia,ARM,"Population ages 70-74, male",SP.POP.7074.MA,36623
Armenia,ARM,"Population ages 70-74, female",SP.POP.7074.FE,64426
Armenia,ARM,"Population ages 65-69, male",SP.POP.6569.MA,61154
Armenia,ARM,"Population ages 65-69, female",SP.POP.6569.FE,93442
Armenia,ARM,"Population ages 60-64, male",SP.POP.6064.MA,79890
Armenia,ARM,"Population ages 60-64, female",SP.POP.6064.FE,116514
Armenia,ARM,"Population ages 55-59, male",SP.POP.5559.MA,61712
Armenia,ARM,"Population ages 55-59, female",SP.POP.5559.FE,96078
Armenia,ARM,"Population ages 50-54, male",SP.POP.5054.MA,59711
Armenia,ARM,"Population ages 50-54, female",SP.POP.5054.FE,82725
Armenia,ARM,"Population ages 45-49, male",SP.POP.4549.MA,60117
Armenia,ARM,"Population ages 45-49, female",SP.POP.4549.FE,85973
Armenia,ARM,"Population ages 40-44, male",SP.POP.4044.MA,79130
Armenia,ARM,"Population ages 40-44, female",SP.POP.4044.FE,104860
Armenia,ARM,"Population ages 35-39, male",SP.POP.3539.MA,107479
Armenia,ARM,"Population ages 35-39, female",SP.POP.3539.FE,133007
Armenia,ARM,"Age dependency ratio, old",SP.POP.DPND.OL,20.7846838314889
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,51.7224900243261
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Armenia,ARM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
